n,sign,q,value,factors,prime,rough_squarefree_P2
1040,-1,37,1081563,3*7*51503,0,0
1040,-1,41,1081559,31*139*251,0,0
1040,-1,43,1081557,3*3*17*7069,0,0
1042,1,3,1085767,1085767,1,1
1042,1,5,1085769,3*3*120641,0,0
1042,1,7,1085771,1085771,1,1
1042,1,11,1085775,3*5*5*31*467,0,0
1042,1,13,1085777,7*11*59*239,0,0
1042,1,17,1085781,3*361927,0,0
1042,1,19,1085783,593*1831,0,1
1042,1,23,1085787,3*3*223*541,0,0
1042,1,29,1085793,3*19*43*443,0,0
1042,1,31,1085795,5*397*547,0,0
1042,1,37,1085801,1085801,1,1
1042,1,41,1085805,3*3*3*3*5*7*383,0,0
1042,1,43,1085807,17*23*2777,0,0
1042,-1,3,1085761,23*47207,0,1
1042,-1,5,1085759,421*2579,0,1
1042,-1,7,1085757,3*361919,0,0
1042,-1,11,1085753,1085753,1,1
1042,-1,13,1085751,3*3*3*40213,0,0
1042,-1,17,1085747,13*47*1777,0,0
1042,-1,19,1085745,3*5*72383,0,0
1042,-1,23,1085741,227*4783,0,1
1042,-1,29,1085735,5*7*67*463,0,0
1042,-1,31,1085733,3*3*11*11*997,0,0
1042,-1,37,1085727,3*361909,0,0
1042,-1,41,1085723,83*103*127,0,0
1042,-1,43,1085721,3*7*13*41*97,0,0
1044,1,3,1089939,3*363313,0,0
1044,1,5,1089941,1089941,1,1
1044,1,7,1089943,1089943,1,1
1044,1,11,1089947,23*47389,0,1
1044,1,13,1089949,7*155707,0,1
1044,1,17,1089953,577*1889,0,1
1044,1,19,1089955,5*17*12823,0,0
1044,1,23,1089959,13*83843,0,1
1044,1,29,1089965,5*29*7517,0,0
1044,1,31,1089967,1089967,1,1
1044,1,37,1089973,19*57367,0,1
1044,1,41,1089977,7*47*3313,0,0
1044,1,43,1089979,11*99089,0,1
1044,-1,3,1089933,3*13*27947,0,0
1044,-1,5,1089931,179*6089,0,1
1044,-1,7,1089929,31*35159,0,1
1044,-1,11,1089925,5*5*43597,0,0
1044,-1,13,1089923,199*5477,0,1
1044,-1,17,1089919,1089919,1,1
1044,-1,19,1089917,1089917,1,1
1044,-1,23,1089913,11*99083,0,1
1044,-1,29,1089907,7*7*13*29*59,0,0
1044,-1,31,1089905,5*217981,0,0
1044,-1,37,1089899,139*7841,0,1
1044,-1,41,1089895,5*217979,0,0
1044,-1,43,1089893,7*155699,0,1
1046,1,3,1094119,13*84163,0,1
1046,1,5,1094121,3*3*3*7*7*827,0,0
1046,1,7,1094123,1094123,1,1
1046,1,11,1094127,3*37*9857,0,0
1046,1,13,1094129,1094129,1,1
1046,1,17,1094133,3*23*101*157,0,0
